,rewards
1413,-6.875
1414,-0.0
1415,-2.5
1416,-8.75
1417,-3.75
1418,-6.25
1419,-11.25
1420,-5.9375
1421,-0.0
1422,-5.9375
1423,-8.4375
1424,-3.4375
1425,-12.5
1426,-5.3125
1427,-3.75
1428,-2.5
1429,-0.0
1430,-5.9375
1431,-3.75
1432,-4.375
1433,-3.4375
1434,-7.1875
1435,-1.5625
1436,-8.4375
1437,-3.75
1438,-3.125
1439,-1.875
1440,-4.6875
1441,-10.625
1442,-5.0
1443,-11.5625
1444,-0.0
1445,-1.875
1446,-4.6875
1447,-9.0625
1448,-3.4375
1449,-5.0
1450,-5.3125
1451,-1.25
1452,-5.0
1453,-0.0
1454,-3.4375
1455,-1.875
1456,-6.875
1457,-4.0625
1458,-4.375
1459,-9.0625
1460,-5.0
1461,-0.0
1462,-0.0
1463,-7.5
1464,-6.25
1465,-2.5
1466,-2.1875
1467,-0.9375
1468,-6.875
1469,-2.1875
1470,-5.9375
1471,-4.6875
1472,-5.0
1473,-2.8125
1474,-3.75
1475,-1.875
1476,-8.4375
1477,-4.375
1478,-4.0625
1479,-3.125
1480,-2.8125
1481,-1.875
1482,-5.9375
1483,-4.6875
1484,-5.3125
1485,-0.0
1486,-2.1875
1487,-5.3125
1488,-7.812500000000001
1489,-3.75
1490,-0.0
1491,-3.4375
1492,-3.125
1493,-4.6875
1494,-6.875
1495,-5.625
1496,-6.5625
1497,-9.0625
1498,-4.375
1499,-2.8125
1500,-7.5
1501,-1.875
1502,-3.125
1503,-5.625
1504,-0.9375
1505,-11.25
1506,-5.3125
1507,-7.5
1508,-0.0
1509,-0.0
1510,-3.75
1511,-8.4375
1512,-7.812500000000001
1513,-7.812500000000001
1514,-5.3125
1515,-1.875
1516,-8.75
1517,-5.0
1518,-4.0625
1519,-8.75
1520,-1.5625
1521,-4.375
1522,-2.5
1523,-3.4375
1524,-3.125
1525,-4.375
1526,-3.75
1527,-2.8125
1528,-4.375
1529,-0.0
1530,-6.875
1531,-6.5625
1532,-1.5625
1533,-2.5
1534,-4.6875
1535,-9.0625
1536,-5.0
1537,-5.9375
1538,-5.9375
1539,-6.25
1540,-0.0
1541,-6.5625
1542,-0.625
1543,-8.125
1544,-4.375
1545,-3.4375
1546,-2.8125
1547,-3.75
1548,-2.8125
1549,-7.5
1550,-7.1875
1551,-4.375
1552,-2.8125
1553,-3.125
1554,-5.0
1555,-4.6875
1556,-9.0625
1557,-4.0625
1558,-0.0
1559,-7.812500000000001
1560,-3.125
1561,-5.625
1562,-9.0625
1563,-9.0625
1564,-0.0
1565,-0.0
1566,-6.875
1567,-2.5
1568,-3.125
1569,-9.375
1570,-0.0
1571,-3.125
1572,-5.0
1573,-4.0625
1574,-7.1875
1575,-3.125
1576,-9.0625
1577,-2.5
1578,-3.125
1579,-6.875
1580,-1.5625
1581,-5.0
1582,-6.5625
1583,-12.5
1584,-5.625
1585,-5.3125
1586,-3.75
1587,-6.25
1588,-3.125
1589,-3.75
1590,-8.125
1591,-2.8125
1592,-5.0
1593,-1.875
1594,-5.3125
1595,-2.8125
1596,-5.0
1597,-3.125
1598,-5.0
1599,-5.9375
1600,-3.4375
